date,cumulative_contributors,contributor_name
2015-08-04 15:47:05+02:00,1,Phil Ewels
2015-09-02 15:52:02+02:00,2,Guillermo Carrasco
2015-09-24 16:01:10+02:00,3,moonso
2015-09-28 14:19:22+02:00,4,Robin Andeer
2015-10-14 13:00:02+01:00,5,Albert Vilella
2016-02-16 23:35:09+01:00,6,Daniel Klevebring
2016-03-15 11:55:03-04:00,7,Lorena Pantano
2016-05-08 11:23:16-04:00,8,Kamil Slowikowski
2016-06-10 14:06:40+02:00,9,GitHub
2016-07-06 19:39:32+01:00,10,Heather Wiencko
2016-07-07 16:22:56-04:00,11,Mike Lusignan
2016-07-14 13:08:30+02:00,12,Roman Valls Guimera
2016-08-31 02:08:12-04:00,13,chapmanb
2016-09-13 08:34:35+02:00,14,Hammarn
2016-09-19 10:00:35+01:00,15,Nils Koelling
2016-11-04 08:43:45+01:00,16,Fredrik Boulund
2016-11-07 03:06:26+03:00,17,vladsaveliev
2016-11-15 14:16:25+00:00,18,Tim Booth
2016-11-16 15:47:30+01:00,19,Francesco Vezzi
2016-11-21 15:19:54+01:00,20,tobias.neumann
2016-12-20 16:18:41-07:00,21,Elmar Pruesse
2017-01-06 10:09:05-05:00,22,roryk
2017-02-15 18:26:40+00:00,23,Tomás Di Domenico
2017-03-16 11:25:21+01:00,24,Alexander Scholz
2017-04-01 10:38:03-07:00,25,Arthur Vigil
2017-04-13 13:49:21+02:00,26,Bastian Schiffthaler
2017-05-09 16:44:21+02:00,27,Marcel Martin
2017-06-27 14:46:54+02:00,28,Julian de Ruiter
2017-07-07 11:08:13-04:00,29,daler
2017-07-20 16:28:53+02:00,30,aperrin
2017-07-20 16:43:28+02:00,31,Dimitri Desvillechabrol
2017-07-20 17:30:04+02:00,32,Dennis Schwartz
2017-07-20 17:35:44+01:00,33,tabwalsh
2017-07-21 10:59:31+01:00,34,Murray Wham
2017-07-21 14:35:04+02:00,35,Markus Ankenbrand
2017-07-21 16:22:07+01:00,36,Raony Guimaraes
2017-07-28 11:11:56+02:00,37,rlegendre
2017-08-09 16:09:59+02:00,38,Denis Moreno
2017-08-10 11:35:27-06:00,39,Emma Hsueh
2017-08-16 12:24:58+02:00,40,Warren W. Kretzschmar
2017-08-21 17:14:10+02:00,41,noirot
2017-08-25 16:49:45+02:00,42,Remi-Andre Olsen
2017-08-30 16:33:24+02:00,43,dpryan79
2017-09-05 15:59:01-04:00,44,Rola Dali
2017-09-07 14:18:29+01:00,45,juliangehring (Julian Gehring)
2017-09-17 13:51:55+02:00,46,Devon Ryan
2017-09-18 10:28:35+02:00,47,Matthias De Smet
2017-10-02 12:37:23+02:00,48,Maxime Garcia
2017-10-12 18:30:09+02:00,49,Joachim Wolff
2017-10-27 17:07:12+02:00,50,ddesvillechabrol
2017-11-29 10:26:58+00:00,51,hxin
2017-12-22 12:38:01+01:00,52,Cashalow
2018-01-08 12:31:09+00:00,53,aledj2
2018-01-12 11:29:33-05:00,54,Savo Lazic
2018-03-05 16:00:51+01:00,55,cpavanrun
2018-03-06 13:34:19+01:00,56,Ivan Molineris
2018-03-09 11:39:09+01:00,57,Alexander Peltzer
2018-04-04 10:00:29+02:00,58,nservant
2018-04-06 12:15:47-04:00,59,Lance Parsons
2018-04-10 15:12:21+01:00,60,Daniel Mapleson
2018-04-11 00:22:29+01:00,61,maplesond
2018-04-23 13:21:23+02:00,62,Kenny Billiau
2018-04-23 15:16:14+02:00,63,hassanfa
2018-04-23 15:16:38+02:00,64,senthil10
2018-04-23 15:16:55+02:00,65,Øyvind Evju
2018-04-24 10:59:44+02:00,66,Rotholandus
2018-05-04 12:11:23+02:00,67,Tor Solli-Nowlan
2018-07-01 22:05:14-04:00,68,zwdzwd
2018-07-18 15:33:13-04:00,69,Vlad Presnyak
2018-08-02 10:41:42+02:00,70,Chuan Wang
2018-08-02 11:52:10-04:00,71,Brad Langhorst
2018-10-13 23:49:21-05:00,72,Manavalan Gajapathy
2018-10-21 17:12:45-04:00,73,pooranis
2018-11-14 10:33:20-05:00,74,Max Hargreaves
2018-11-14 10:48:27-05:00,75,BINF-GSC
2018-12-10 19:01:30-05:00,76,Dmitri Bichko
2019-01-07 12:15:15+01:00,77,apeltzer
2019-01-31 13:30:23+01:00,78,Johannes Alneberg
2019-02-20 10:56:11-08:00,79,Jake VanCampen
2019-03-04 09:59:24+01:00,80,Sacha Laurent
2019-03-21 17:31:37+01:00,81,ratzeni
2019-04-03 14:43:52+02:00,82,Bekir Erguner
2019-04-10 13:21:04+02:00,83,lukaw3d
2019-05-14 12:13:01-06:00,84,eCook
2019-06-25 10:16:38-06:00,85,elizabethcook21
2019-06-25 15:06:42-07:00,86,JodyZhu
2019-08-14 23:45:31+02:00,87,kerstenbreuer
2019-08-30 13:13:28+02:00,88,Patrik Smeds
2019-09-30 15:52:17+02:00,89,Matteo
2019-10-01 11:57:34+01:00,90,Christian Schudoma
2019-10-16 14:42:00-06:00,91,erin.olde
2019-11-20 14:13:51+01:00,92,James A. Fellows Yates
2019-12-02 15:23:33+10:00,93,m-ish
2019-12-05 11:07:57+01:00,94,Sara Sjunnebo
2020-01-29 16:16:19+01:00,95,Leily Rabbani
2020-02-14 11:57:08+01:00,96,matrulda
2020-02-19 19:33:09+01:00,97,florian
2020-03-03 15:13:29-07:00,98,Nils Homer
2020-03-11 10:25:35+01:00,99,Maarten van der Sande
2020-03-16 16:04:40-06:00,100,Antonio Gonzalez
2020-03-19 13:49:30+03:00,101,Roman Chernyatchik
2020-03-24 14:04:59-04:00,102,Jacob Morrison
2020-03-26 22:32:27-04:00,103,sergpolly
2020-03-29 15:13:46+01:00,104,Stephen Richer
2020-03-31 10:20:10+02:00,105,German Tischler-Höhle
2020-04-01 00:52:48-07:00,106,Nik Krumm
2020-04-03 23:58:51+08:00,107,hao zhang
2020-04-07 15:53:39-04:00,108,FlorianThibord
2020-04-08 08:30:04+02:00,109,fgvieira
2020-04-21 22:10:42-07:00,110,anand
2020-04-30 16:27:36+02:00,111,cnoirot
2020-05-01 12:44:53-04:00,112,Haizi Zheng
2020-05-04 22:12:52+02:00,113,jfy133
2020-05-06 18:09:09+02:00,114,TCLamnidis
2020-05-12 12:00:01+01:00,115,Chris
2020-05-15 12:34:31+01:00,116,drpatelh
2020-05-20 12:46:21+02:00,117,Chris van Run
2020-05-25 14:18:36-07:00,118,Bowman
2020-05-28 14:14:44+02:00,119,maxibor
