date,issues_open
2015-08-06T16:36:54+00:00,1
2015-08-06T16:38:26+00:00,2
2015-08-06T16:47:43+00:00,3
2015-08-10T15:41:30+00:00,2
2015-08-19T15:16:10+00:00,1
2015-08-20T10:50:25+00:00,2
2015-08-27T15:09:48+00:00,1
2015-08-28T09:03:19+00:00,2
2015-09-01T08:25:23+00:00,3
2015-09-01T09:42:40+00:00,4
2015-09-01T12:44:40+00:00,5
2015-09-01T14:13:34+00:00,4
2015-09-02T09:40:37+00:00,5
2015-09-02T12:30:31+00:00,6
2015-09-02T16:36:08+00:00,5
2015-09-07T12:16:51+00:00,6
2015-09-07T12:18:17+00:00,7
2015-09-07T19:03:35+00:00,8
2015-09-07T20:11:02+00:00,9
2015-09-10T12:38:29+00:00,10
2015-09-10T14:26:40+00:00,9
2015-09-10T15:55:38+00:00,10
2015-09-11T08:31:28+00:00,9
2015-09-11T09:40:48+00:00,10
2015-09-11T14:11:03+00:00,9
2015-09-11T15:18:27+00:00,8
2015-09-11T17:20:38+00:00,9
2015-09-14T08:46:54+00:00,8
2015-09-14T09:59:27+00:00,9
2015-09-14T10:01:56+00:00,10
2015-09-15T13:29:56+00:00,11
2015-09-15T16:33:09+00:00,10
2015-09-15T16:38:00+00:00,9
2015-09-15T16:39:27+00:00,10
2015-09-16T11:48:26+00:00,9
2015-09-16T14:25:01+00:00,8
2015-09-17T14:26:15+00:00,7
2015-09-17T14:56:52+00:00,8
2015-09-18T14:27:10+00:00,9
2015-09-18T14:36:18+00:00,8
2015-09-18T14:44:36+00:00,9
2015-09-20T17:49:40+00:00,8
2015-09-20T17:53:48+00:00,9
2015-09-21T09:25:38+00:00,10
2015-09-21T13:40:01+00:00,9
2015-09-21T15:01:01+00:00,10
2015-09-22T11:20:11+00:00,11
2015-09-23T14:37:24+00:00,12
2015-09-23T14:38:23+00:00,13
2015-09-23T14:38:47+00:00,14
2015-09-23T14:40:02+00:00,15
2015-09-24T08:38:39+00:00,16
2015-09-25T13:03:27+00:00,17
2015-09-26T09:08:26+00:00,18
2015-09-27T13:42:06+00:00,19
2015-09-28T12:03:33+00:00,18
2015-09-29T10:50:48+00:00,17
2015-09-29T11:14:55+00:00,16
2015-09-29T12:54:30+00:00,15
2015-09-29T13:21:43+00:00,16
2015-09-29T14:47:14+00:00,17
2015-09-29T21:21:05+00:00,16
2015-09-30T15:10:46+00:00,17
2015-09-30T15:22:20+00:00,18
2015-09-30T15:24:29+00:00,19
2015-09-30T15:39:29+00:00,20
2015-09-30T15:40:27+00:00,21
2015-09-30T15:41:57+00:00,22
2015-09-30T17:30:49+00:00,23
2015-10-05T14:59:54+00:00,24
2015-10-06T16:15:03+00:00,23
2015-10-06T20:28:13+00:00,22
2015-10-06T20:58:39+00:00,21
2015-10-06T21:09:35+00:00,20
2015-10-07T09:02:01+00:00,19
2015-10-07T10:10:14+00:00,18
2015-10-08T08:28:02+00:00,17
2015-10-08T09:00:13+00:00,16
2015-10-08T09:00:13+00:00,15
2015-10-08T09:33:34+00:00,14
2015-10-08T10:41:34+00:00,15
2015-10-08T15:20:46+00:00,14
2015-10-08T15:40:48+00:00,13
2015-10-08T15:40:59+00:00,12
2015-10-12T12:45:34+00:00,11
2015-10-13T12:13:07+00:00,10
2015-10-13T12:40:26+00:00,9
2015-10-13T13:16:49+00:00,10
2015-10-13T14:30:44+00:00,9
2015-10-13T14:38:06+00:00,10
2015-10-14T11:32:24+00:00,11
2015-10-16T08:25:54+00:00,12
2015-10-16T10:29:05+00:00,13
2015-10-16T11:58:18+00:00,14
2015-10-16T12:10:55+00:00,15
2015-10-16T16:18:40+00:00,14
2015-10-16T17:51:51+00:00,15
2015-10-16T17:57:36+00:00,16
2015-10-19T08:37:37+00:00,15
2015-10-19T14:38:10+00:00,16
2015-10-19T14:57:00+00:00,17
2015-10-19T19:48:27+00:00,16
2015-10-19T19:52:49+00:00,15
2015-10-19T20:26:22+00:00,14
2015-10-22T13:46:57+00:00,13
2015-10-22T16:44:10+00:00,14
2015-10-23T10:33:17+00:00,13
2015-10-26T15:56:29+00:00,12
2015-10-26T15:58:15+00:00,11
2015-10-27T11:07:02+00:00,12
2015-10-28T12:22:09+00:00,13
2015-10-28T17:19:20+00:00,14
2015-10-30T08:52:24+00:00,15
2015-10-30T08:55:45+00:00,16
2015-10-30T09:05:50+00:00,17
2015-10-30T09:13:10+00:00,18
2015-10-30T09:17:13+00:00,19
2015-10-30T13:54:09+00:00,18
2015-11-02T17:18:38+00:00,19
2015-11-03T14:18:49+00:00,20
2015-11-03T14:19:54+00:00,21
2015-11-03T14:20:56+00:00,22
2015-11-03T14:21:20+00:00,23
2015-11-03T14:21:50+00:00,24
2015-11-03T14:22:22+00:00,25
2015-11-03T14:23:24+00:00,26
2015-11-04T08:55:12+00:00,27
2015-11-04T13:00:42+00:00,26
2015-11-04T13:00:57+00:00,25
2015-11-04T15:12:33+00:00,24
2015-11-04T15:45:06+00:00,23
2015-11-04T15:52:48+00:00,22
2015-11-04T16:11:55+00:00,21
2015-11-04T16:20:38+00:00,22
2015-11-05T12:12:02+00:00,23
2015-11-07T12:54:41+00:00,22
2015-11-07T13:00:28+00:00,21
2015-11-07T16:09:45+00:00,20
2015-11-08T23:00:48+00:00,21
2015-11-08T23:06:11+00:00,22
2015-11-10T14:36:42+00:00,23
2015-11-10T14:41:43+00:00,24
2015-11-12T14:03:42+00:00,25
2015-11-12T15:20:37+00:00,26
2015-11-13T10:11:30+00:00,27
2015-11-13T10:13:01+00:00,28
2015-11-13T13:16:15+00:00,27
2015-11-13T15:19:17+00:00,26
2015-11-13T16:40:43+00:00,25
2015-11-13T17:00:11+00:00,26
2015-11-13T17:01:26+00:00,27
2015-11-13T21:17:49+00:00,26
2015-11-14T11:19:23+00:00,25
2015-11-17T08:39:19+00:00,26
2015-11-17T14:05:45+00:00,25
2015-11-18T11:11:53+00:00,26
2015-11-18T17:08:43+00:00,27
2015-11-19T11:21:03+00:00,26
2015-11-19T15:07:14+00:00,25
2015-11-24T13:32:24+00:00,24
2015-11-24T13:49:43+00:00,23
2015-11-24T14:00:03+00:00,22
2015-11-25T13:41:24+00:00,23
2015-11-25T17:25:19+00:00,22
2015-11-25T17:48:03+00:00,21
2015-12-04T04:21:40+00:00,22
2015-12-08T10:20:06+00:00,23
2015-12-08T10:36:02+00:00,24
2015-12-09T08:30:38+00:00,25
2015-12-09T08:32:35+00:00,26
2015-12-09T09:21:11+00:00,27
2015-12-12T17:48:44+00:00,28
2015-12-14T11:45:40+00:00,29
2015-12-14T12:54:30+00:00,28
2015-12-15T11:22:05+00:00,29
2015-12-18T14:19:46+00:00,28
2016-01-05T12:50:37+00:00,29
2016-01-05T13:07:50+00:00,28
2016-01-08T09:41:26+00:00,29
2016-01-08T09:55:18+00:00,30
2016-01-08T09:58:37+00:00,31
2016-01-08T10:28:46+00:00,30
2016-01-08T10:42:20+00:00,29
2016-01-19T05:47:59+00:00,30
2016-01-20T14:09:08+00:00,29
2016-01-21T15:44:07+00:00,30
2016-01-27T14:10:31+00:00,31
2016-01-28T13:33:35+00:00,32
2016-02-01T16:22:11+00:00,33
2016-02-02T10:24:28+00:00,32
2016-02-04T15:59:45+00:00,33
2016-02-04T16:40:31+00:00,32
2016-02-05T15:12:39+00:00,31
2016-02-05T23:57:37+00:00,30
2016-02-08T11:14:31+00:00,29
2016-02-08T14:04:24+00:00,30
2016-02-08T14:20:39+00:00,29
2016-02-09T16:02:46+00:00,30
2016-02-09T16:24:46+00:00,29
2016-02-09T17:57:56+00:00,28
2016-02-09T21:53:13+00:00,27
2016-02-09T22:20:40+00:00,26
2016-02-10T09:40:37+00:00,27
2016-02-10T14:55:23+00:00,28
2016-02-10T16:04:48+00:00,29
2016-02-10T21:08:21+00:00,30
2016-02-10T22:33:04+00:00,29
2016-02-11T15:38:07+00:00,30
2016-02-11T15:52:21+00:00,29
2016-02-12T09:21:40+00:00,30
2016-02-12T10:39:12+00:00,29
2016-02-15T11:28:14+00:00,28
2016-02-15T15:01:30+00:00,27
2016-02-16T14:48:22+00:00,28
2016-02-18T08:58:00+00:00,27
2016-02-26T15:36:20+00:00,26
2016-02-29T17:52:47+00:00,27
2016-03-02T10:19:14+00:00,28
2016-03-02T10:45:49+00:00,27
2016-03-03T11:18:59+00:00,28
2016-03-07T20:32:16+00:00,29
2016-03-09T09:58:37+00:00,28
2016-03-09T15:34:09+00:00,27
2016-03-09T16:22:15+00:00,26
2016-03-09T16:33:19+00:00,25
2016-03-09T16:36:25+00:00,26
2016-03-09T16:40:54+00:00,25
2016-03-15T08:05:33+00:00,26
2016-03-15T13:59:59+00:00,25
2016-03-15T14:00:14+00:00,24
2016-03-15T17:24:08+00:00,23
2016-03-15T17:47:56+00:00,24
2016-03-15T17:49:10+00:00,25
2016-03-16T10:41:37+00:00,26
2016-03-17T13:52:35+00:00,25
2016-03-18T09:47:33+00:00,26
2016-03-18T13:43:10+00:00,25
2016-03-18T14:10:32+00:00,24
2016-03-18T15:17:37+00:00,23
2016-03-18T16:35:23+00:00,24
2016-03-18T16:38:04+00:00,23
2016-03-21T15:47:58+00:00,24
2016-03-21T19:11:28+00:00,23
2016-03-22T17:28:24+00:00,22
2016-03-23T00:05:31+00:00,21
2016-03-23T00:29:32+00:00,20
2016-03-23T00:34:39+00:00,19
2016-03-29T09:30:44+00:00,18
2016-03-30T02:50:59+00:00,19
2016-03-30T09:53:12+00:00,18
2016-04-01T06:32:46+00:00,19
2016-04-03T08:24:00+00:00,20
2016-04-03T08:47:35+00:00,19
2016-04-04T08:35:22+00:00,18
2016-04-04T15:35:51+00:00,19
2016-04-06T22:35:02+00:00,20
2016-04-07T15:13:55+00:00,19
2016-04-08T13:32:50+00:00,20
2016-04-10T14:46:21+00:00,21
2016-04-11T10:21:29+00:00,20
2016-04-12T14:17:17+00:00,19
2016-04-15T18:32:14+00:00,20
2016-04-15T18:56:24+00:00,19
2016-04-18T09:39:57+00:00,20
2016-04-18T09:52:56+00:00,19
2016-04-18T13:05:42+00:00,20
2016-04-18T14:28:13+00:00,21
2016-04-18T14:51:50+00:00,22
2016-04-18T20:47:15+00:00,23
2016-04-19T09:58:02+00:00,24
2016-04-20T15:50:29+00:00,23
2016-04-20T17:07:28+00:00,22
2016-04-21T10:04:20+00:00,23
2016-04-26T08:06:59+00:00,24
2016-04-26T17:08:52+00:00,25
2016-04-26T17:29:58+00:00,26
2016-04-26T19:44:54+00:00,27
2016-04-26T21:41:21+00:00,26
2016-04-26T21:49:25+00:00,27
2016-04-27T21:48:51+00:00,26
2016-04-27T22:45:38+00:00,27
2016-04-27T22:46:13+00:00,26
2016-04-27T23:26:04+00:00,27
2016-04-28T08:40:13+00:00,26
2016-04-28T10:05:12+00:00,25
2016-04-28T15:32:11+00:00,24
2016-04-28T16:45:36+00:00,23
2016-04-28T17:28:56+00:00,22
2016-04-28T21:22:17+00:00,23
2016-04-29T07:01:01+00:00,22
2016-04-29T07:51:53+00:00,21
2016-05-02T21:26:08+00:00,20
2016-05-03T09:11:01+00:00,21
2016-05-03T14:23:59+00:00,20
2016-05-03T14:29:14+00:00,19
2016-05-05T07:23:00+00:00,20
2016-05-05T07:23:45+00:00,19
2016-05-05T13:53:53+00:00,20
2016-05-05T14:54:58+00:00,19
2016-05-05T20:38:06+00:00,20
2016-05-06T11:56:59+00:00,19
2016-05-06T11:57:55+00:00,18
2016-05-06T21:46:10+00:00,17
2016-05-06T21:51:34+00:00,18
2016-05-06T21:52:22+00:00,19
2016-05-06T21:53:36+00:00,20
2016-05-08T11:52:55+00:00,21
2016-05-08T12:16:48+00:00,20
2016-05-10T12:38:21+00:00,21
2016-05-10T13:03:07+00:00,20
2016-05-12T15:57:58+00:00,19
2016-05-13T13:10:34+00:00,20
2016-05-16T15:44:35+00:00,21
2016-05-17T18:23:06+00:00,22
2016-05-17T20:55:53+00:00,21
2016-05-18T14:45:47+00:00,20
2016-05-18T15:43:45+00:00,21
2016-05-18T15:44:47+00:00,22
2016-05-18T15:58:39+00:00,23
2016-05-18T16:14:18+00:00,24
2016-05-19T11:52:43+00:00,23
2016-05-19T11:58:37+00:00,22
2016-05-19T13:44:36+00:00,21
2016-05-21T23:42:32+00:00,22
2016-05-23T09:32:18+00:00,23
2016-05-23T11:20:28+00:00,24
2016-05-23T13:51:45+00:00,23
2016-05-23T14:27:56+00:00,22
2016-05-24T13:52:24+00:00,21
2016-05-25T13:23:22+00:00,22
2016-05-26T11:57:47+00:00,21
2016-05-26T21:25:06+00:00,22
2016-05-30T10:16:21+00:00,23
2016-05-30T10:17:33+00:00,24
2016-05-30T13:13:44+00:00,23
2016-06-01T08:47:38+00:00,24
2016-06-01T08:48:50+00:00,25
2016-06-01T09:15:34+00:00,26
2016-06-01T09:22:49+00:00,25
2016-06-01T09:46:48+00:00,24
2016-06-01T17:03:49+00:00,25
2016-06-02T09:52:49+00:00,26
2016-06-02T14:44:21+00:00,25
2016-06-02T23:04:44+00:00,26
2016-06-03T11:44:03+00:00,27
2016-06-08T07:57:55+00:00,28
2016-06-10T09:58:13+00:00,29
2016-06-14T17:25:53+00:00,28
2016-06-15T21:32:55+00:00,27
2016-06-19T11:03:04+00:00,28
2016-06-19T11:33:32+00:00,27
2016-06-21T12:18:46+00:00,28
2016-06-21T13:38:39+00:00,27
2016-06-21T14:43:22+00:00,26
2016-06-21T15:54:54+00:00,25
2016-06-22T13:30:30+00:00,26
2016-06-22T18:37:14+00:00,27
2016-06-23T11:55:18+00:00,28
2016-06-24T21:17:48+00:00,29
2016-06-26T18:05:15+00:00,28
2016-06-27T05:32:37+00:00,29
2016-06-27T05:48:44+00:00,30
2016-06-27T14:13:53+00:00,29
2016-06-27T14:14:26+00:00,28
2016-06-28T00:44:58+00:00,29
2016-06-28T08:22:17+00:00,28
2016-06-28T08:25:17+00:00,27
2016-06-28T09:57:15+00:00,26
2016-06-28T15:55:22+00:00,27
2016-06-29T11:26:08+00:00,26
2016-06-29T11:35:44+00:00,25
2016-06-30T13:15:11+00:00,24
2016-07-01T12:38:33+00:00,23
