month_start,new_prs
2015-09-01T00:00:00+00:00,9
2015-10-01T00:00:00+00:00,9
2015-11-01T00:00:00+00:00,5
2015-12-01T00:00:00+00:00,1
2016-02-01T00:00:00+00:00,4
2016-03-01T00:00:00+00:00,4
2016-04-01T00:00:00+00:00,7
2016-05-01T00:00:00+00:00,7
2016-06-01T00:00:00+00:00,3
2016-07-01T00:00:00+00:00,12
2016-08-01T00:00:00+00:00,2
2016-09-01T00:00:00+00:00,2
2016-10-01T00:00:00+00:00,4
2016-11-01T00:00:00+00:00,6
2016-12-01T00:00:00+00:00,12
2017-01-01T00:00:00+00:00,5
2017-02-01T00:00:00+00:00,4
2017-03-01T00:00:00+00:00,5
2017-04-01T00:00:00+00:00,8
2017-05-01T00:00:00+00:00,4
2017-06-01T00:00:00+00:00,3
2017-07-01T00:00:00+00:00,25
2017-08-01T00:00:00+00:00,19
2017-09-01T00:00:00+00:00,14
2017-10-01T00:00:00+00:00,11
2017-11-01T00:00:00+00:00,5
2017-12-01T00:00:00+00:00,3
2018-01-01T00:00:00+00:00,8
2018-02-01T00:00:00+00:00,4
2018-03-01T00:00:00+00:00,12
2018-04-01T00:00:00+00:00,14
2018-05-01T00:00:00+00:00,8
2018-06-01T00:00:00+00:00,8
2018-07-01T00:00:00+00:00,5
2018-08-01T00:00:00+00:00,6
2018-09-01T00:00:00+00:00,4
2018-10-01T00:00:00+00:00,2
2018-11-01T00:00:00+00:00,2
2018-12-01T00:00:00+00:00,7
2019-01-01T00:00:00+00:00,2
2019-02-01T00:00:00+00:00,3
2019-03-01T00:00:00+00:00,14
2019-04-01T00:00:00+00:00,5
2019-05-01T00:00:00+00:00,3
2019-06-01T00:00:00+00:00,4
2019-07-01T00:00:00+00:00,2
2019-08-01T00:00:00+00:00,4
2019-09-01T00:00:00+00:00,1
2019-10-01T00:00:00+00:00,10
2019-11-01T00:00:00+00:00,6
2019-12-01T00:00:00+00:00,4
2020-01-01T00:00:00+00:00,3
2020-02-01T00:00:00+00:00,6
2020-03-01T00:00:00+00:00,16
2020-04-01T00:00:00+00:00,14
2020-05-01T00:00:00+00:00,17
2020-06-01T00:00:00+00:00,12
2020-07-01T00:00:00+00:00,4
2020-08-01T00:00:00+00:00,3
2020-09-01T00:00:00+00:00,10
2020-10-01T00:00:00+00:00,10
2020-11-01T00:00:00+00:00,8
2020-12-01T00:00:00+00:00,5
2021-01-01T00:00:00+00:00,4
2021-02-01T00:00:00+00:00,6
2021-03-01T00:00:00+00:00,5
2021-04-01T00:00:00+00:00,5
2021-05-01T00:00:00+00:00,5
2021-06-01T00:00:00+00:00,15
2021-07-01T00:00:00+00:00,15
2021-08-01T00:00:00+00:00,17
2021-09-01T00:00:00+00:00,3
2021-10-01T00:00:00+00:00,4
2021-11-01T00:00:00+00:00,17
2021-12-01T00:00:00+00:00,4
2022-01-01T00:00:00+00:00,2
2022-02-01T00:00:00+00:00,9
2022-03-01T00:00:00+00:00,6
2022-04-01T00:00:00+00:00,7
2022-05-01T00:00:00+00:00,4
2022-06-01T00:00:00+00:00,10
2022-07-01T00:00:00+00:00,9
2022-08-01T00:00:00+00:00,9
2022-09-01T00:00:00+00:00,8
2022-10-01T00:00:00+00:00,4
2022-11-01T00:00:00+00:00,9
2022-12-01T00:00:00+00:00,19
2023-01-01T00:00:00+00:00,7
2023-02-01T00:00:00+00:00,4
2023-03-01T00:00:00+00:00,9
2023-04-01T00:00:00+00:00,10
2023-05-01T00:00:00+00:00,4
2023-06-01T00:00:00+00:00,4
2023-07-01T00:00:00+00:00,7
2023-08-01T00:00:00+00:00,38
2023-09-01T00:00:00+00:00,46
2023-10-01T00:00:00+00:00,41
2023-11-01T00:00:00+00:00,27
2023-12-01T00:00:00+00:00,38
2024-01-01T00:00:00+00:00,20
2024-02-01T00:00:00+00:00,82
2024-03-01T00:00:00+00:00,33
2024-04-01T00:00:00+00:00,31
2024-05-01T00:00:00+00:00,54
2024-06-01T00:00:00+00:00,42
2024-07-01T00:00:00+00:00,44
2024-08-01T00:00:00+00:00,48
2024-09-01T00:00:00+00:00,61
2024-10-01T00:00:00+00:00,29
2024-11-01T00:00:00+00:00,29
2024-12-01T00:00:00+00:00,29
2025-01-01T00:00:00+00:00,28
2025-02-01T00:00:00+00:00,15
2025-03-01T00:00:00+00:00,21
2025-04-01T00:00:00+00:00,21
2025-05-01T00:00:00+00:00,26
2025-06-01T00:00:00+00:00,14
2025-07-01T00:00:00+00:00,29
2025-08-01T00:00:00+00:00,20
2025-09-01T00:00:00+00:00,20
